prosperity_index,house_is,price,rooms_number,area,equipped_kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,swimming_pool_has,property_subtype_APARTMENT_BLOCK,property_subtype_DUPLEX,property_subtype_GROUND_FLOOR,property_subtype_HOUSE,property_subtype_MIXED_USE_BUILDING,property_subtype_OTHER,property_subtype_PENTHOUSE,property_subtype_VILLA,region_F,region_W,building_state_agg_renovated,building_state_agg_to_renovate
95.0,0,445000.0,3.0,120.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,995000.0,4.0,260.0,1,0,0,1,66.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,174000.0,1.0,43.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
95.0,0,349000.0,2.0,100.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
95.0,0,485000.0,3.0,139.0,1,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,275000.0,2.0,78.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
95.0,0,350000.0,3.0,107.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,149000.0,0.0,35.0,1,0,0,1,0.0,1,12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
95.0,0,245000.0,1.0,68.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,495000.0,3.0,144.0,1,0,0,1,8.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,310000.0,2.0,89.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,598000.0,3.0,138.0,1,0,0,1,12.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,275000.0,2.0,70.0,1,0,0,1,16.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,375000.0,2.0,108.0,1,0,0,1,32.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,445000.0,2.0,100.0,1,0,0,1,6.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,345000.0,2.0,90.0,1,0,0,1,9.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,580000.0,4.0,170.0,1,0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
95.0,0,675000.0,3.0,169.0,0,0,0,1,6.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0
95.0,0,470000.0,3.0,113.0,1,0,0,1,70.0,1,12.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,340000.0,2.0,75.0,1,0,0,1,6.0,1,55.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0
95.0,0,335000.0,2.0,84.0,1,0,0,1,11.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,0,295000.0,2.0,82.0,1,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
